split_seed,strategy,topk_enrichment,ndcg,hypervolume,n_candidates,k,enrich_pareto_rank,ndcg_pareto_rank,enrich_rank_product,ndcg_rank_product,enrich_threshold_gate,ndcg_threshold_gate,topk_feasible_frac
106,random_weight_search,0.5333333333333333,0.9158077273008406,0.45562348691944987,533,20,0.35,0.9981509930361697,0.85,0.9915220018099524,0.4,0.7577501870563997,0.45
106,nsga2_crowding,0.45,0.752334210996346,0.505476559768935,533,20,0.6,1.0,0.5,0.9116101373398479,0.25,0.3453924956491901,0.65
107,activity_only,0.09999999999999999,0.6487554171954772,0.3177212751101172,533,20,0.25,0.9972256195131718,0.05,0.8502801791096402,0.0,0.09876045296361997,0.0
107,toxicity_exclusion,0.26666666666666666,0.8567800849987334,0.43508480056939225,77,20,0.25,0.9977002149414862,0.1,0.8619619569918654,0.45,0.7106780830628482,1.0
107,weighted_sum,0.5166666666666666,0.9406955276801096,0.40207784397440594,533,20,0.1,0.9990172982266429,0.85,0.9941724093291353,0.6,0.8288968754845504,0.6
107,agent_improved,0.6166666666666666,0.9808444515692784,0.4660788392290718,533,20,0.3,0.9996830889012656,0.6,0.9640919005975273,0.95,0.9787583652090424,0.75
107,rule_only,0.3666666666666667,0.8708867265632704,0.36847736256330227,286,20,0.05,0.9970503299814321,0.7,0.9831195671269128,0.35,0.6324902825814661,0.45
107,random,0.05000000000000001,0.5655386281139476,0.43508480056939225,533,20,0.05,0.9058550617925235,0.05,0.5871048717391982,0.05,0.20365595081012114,0.15
107,random_weight_search,0.5666666666666668,0.9501031326338234,0.4482706649990465,533,20,0.15,0.9991733620677009,0.9,0.9951165496976647,0.65,0.8560194861361047,0.65
107,nsga2_crowding,0.3,0.764682294001839,0.5259355316736579,533,20,0.35,1.0,0.3,0.9222769648081823,0.25,0.3717699171973347,0.45
108,activity_only,0.13333333333333333,0.640325501383515,0.31096012184609717,533,20,0.25,0.9951998853904344,0.15,0.8366950425449896,0.0,0.08908157621512092,0.0
108,toxicity_exclusion,0.3,0.8090143332160372,0.5355613182347417,88,20,0.3,0.9960289332039148,0.15,0.8153215701382076,0.45,0.615692496305989,1.0
108,weighted_sum,0.5666666666666667,0.9450079337700096,0.5751580721285647,533,20,0.4,0.9989262937078989,0.85,0.9914474899357443,0.45,0.8446500176663854,0.5
108,agent_improved,0.65,0.9545138572737298,0.5814273681455427,533,20,0.55,0.9994265488361049,0.65,0.9623094216560519,0.75,0.9018056013290326,0.65
108,rule_only,0.4000000000000001,0.8666984860341063,0.5147852556681798,294,20,0.25,0.9948349960861254,0.55,0.9349600490714306,0.4,0.670300412944763,0.4
108,random,0.03333333333333333,0.5478706731451647,0.30774126876461433,533,20,0.0,0.9031388569108308,0.05,0.5659563211753833,0.05,0.17451684134928003,0.25
108,random_weight_search,0.5666666666666668,0.8675243078288467,0.5838729054194797,533,20,0.4,0.9987211664344324,0.9,0.9814829086886587,0.4,0.6223688483634486,0.45
108,nsga2_crowding,0.5666666666666668,0.7837904661472211,0.6052814799224833,533,20,0.8,1.0,0.55,0.9283683495366759,0.35,0.4230030489049875,0.55
109,activity_only,0.05000000000000001,0.6542900699851552,0.36228457483019694,533,20,0.1,0.9971824395880474,0.05,0.8493669425311612,0.0,0.11632082783625693,0.0
109,toxicity_exclusion,0.3,0.8376911017438239,0.4744016674668619,87,20,0.25,0.9964647383518627,0.15,0.8397549950734975,0.5,0.6768535718061112,1.0
109,weighted_sum,0.6333333333333333,0.940572523061871,0.5447704091053933,533,20,0.45,0.99937758901297,0.85,0.9939359489112276,0.6,0.8284040312614153,0.65
109,agent_improved,0.6833333333333332,0.9685661884020829,0.5585838237212258,533,20,0.55,0.9998685826416244,0.7,0.9676024509102602,0.8,0.9382275316543639,0.7
109,rule_only,0.3833333333333333,0.86862764320417,0.39642459046732725,270,20,0.25,0.9976570649237023,0.55,0.9579697544360046,0.35,0.6502561102528028,0.45
109,random,0.016666666666666666,0.6202506084466601,0.36942036734670997,533,20,0.0,0.9426598680064231,0.05,0.66066808961254,0.0,0.25742386772101733,0.15
109,random_weight_search,0.6333333333333333,0.9082057631720705,0.5273545303752248,533,20,0.5,0.9995053450281782,0.9,0.9899805717212016,0.5,0.7351313727668317,0.45
109,nsga2_crowding,0.3833333333333333,0.8230195626804457,0.5719668359081002,533,20,0.45,1.0,0.35,0.9412479005227617,0.35,0.5278107875185755,0.5
